日本	Japão	nihon
日本人	japonês / japonesa (nacionalidade)	nihonjin
アメリカ	Estados Unidos	amerika
アメリカ人	americano / americana	amerikajin
イギリス	Reino Unido / Inglaterra	igirisu
イギリス人	britânico / britânica	igirisujin
中国	China	chuugoku
中国人	chinês / chinesa	chuugokujin
韓国	Coreia do Sul	kankoku
韓国人	coreano / coreana	kankokujin
フランス	França	furansu
フランス人	francês / francesa	furansujin
ドイツ	Alemanha	doitsu
ドイツ人	alemão / alemã	doitsujin
ブラジル	Brasil	burajiru
ブラジル人	brasileiro / brasileira	burajirujin
インド	Índia	indo
インド人	indiano / indiana	indojin
カナダ	Canadá	kanada
カナダ人	canadense	kanadajin
ロシア	Rússia	roshia
ロシア人	russo / russa	roshiajin
スペイン	Espanha	supein
スペイン人	espanhol / espanhola	supeinjin
タイ	Tailândia	tai
タイ人	tailandês / tailandesa	taijin
ベトナム	Vietnã	betonamu
ベトナム人	vietnamita	betonamujin
フィリピン	Filipinas	firipin
フィリピン人	filipino / filipina	firipinjin
